
                  X                  f        
               20.2432E-06         0.         
               20.3252E-06         0.         
               20.4071E-06         0.         
               20.4891E-06         0.         
               20.5711E-06         0.         
               20.653E-06          0.         
               20.735E-06          0.         
               20.8169E-06         0.         
               20.8989E-06         0.         
               20.9808E-06         0.         
               21.0628E-06         0.         
               21.1447E-06         0.         
               21.2267E-06         0.         
               21.3087E-06         0.         
               21.3906E-06         0.         
               21.4726E-06         0.         
               21.5545E-06         0.         
               21.6365E-06         0.         
               21.7184E-06         0.         
               21.8004E-06         0.         
               21.8824E-06         0.         
               21.9643E-06         0.         
               22.0463E-06         0.         
               22.1282E-06         0.         
               22.2102E-06         0.         
               22.2921E-06         0.         
               22.3741E-06         0.         
               22.4561E-06         0.         
               22.538E-06          0.         
               22.62E-06           0.         
               22.7019E-06         0.         
               22.7839E-06         0.         
               22.8658E-06         0.         
               22.9478E-06         0.         
               23.0297E-06         0.         
               23.1117E-06         0.         
               23.1937E-06         0.         
               23.2756E-06         0.         
               23.3576E-06         0.         
               23.4395E-06         0.         
               23.5215E-06         0.         
               23.6034E-06         0.         
               23.6854E-06         0.         
               23.7674E-06         0.         
               23.8493E-06         0.         
               23.9313E-06         0.         
               24.0132E-06         0.         
               24.0952E-06         0.         
               24.1771E-06         0.         
               24.2591E-06         0.         
               24.341E-06          0.         
               24.423E-06          0.         
               24.505E-06          0.         
               24.5869E-06         0.         
               24.6689E-06         0.         
               24.7508E-06         0.         
               24.8328E-06         0.         
               24.9147E-06         0.         
               24.9967E-06         0.         
               25.0787E-06         0.         
               25.1606E-06         0.         
               25.2426E-06         0.         
               25.3245E-06         0.         
               25.4065E-06         0.         
               25.4884E-06         0.         
               25.5704E-06         0.         
               25.6523E-06         0.         
               25.7343E-06         0.         
               25.8163E-06         0.         
               25.8982E-06         0.         
               25.9802E-06         0.         
               26.0621E-06         0.         
               26.1441E-06         0.         
               26.226E-06          0.         
               26.308E-06          0.         
               26.39E-06           0.         
               26.4719E-06         0.         
               26.5539E-06        -0.         
               26.6358E-06        -0.         
               26.7178E-06        -0.         
               26.7997E-06        -0.         
               26.8817E-06        -0.         
               26.9637E-06        -0.         
               27.0456E-06        -0.         
               27.1276E-06        -0.         
               27.2095E-06        -0.         
               27.2915E-06        -0.         
               27.3734E-06        -0.         
               27.4554E-06        -0.         
               27.5373E-06        -0.         
               27.6193E-06        -0.         
               27.7013E-06        -0.         
               27.7832E-06        -0.         
               27.8652E-06        -0.         
               27.9471E-06        -0.         
               28.0291E-06        -0.         
               28.111E-06         -0.         
               28.193E-06         -0.         
               28.275E-06         -0.         
               28.3569E-06        -0.         
               28.4389E-06        -0.         
               28.5208E-06        -0.         
               28.6028E-06        -0.         
               28.6847E-06        -0.         
               28.7667E-06        -0.         
               28.8486E-06        -0.         
               28.9306E-06        -0.         
